artist,album,year,winner,Decade,sentiment
Cyndi Lauper,She's So Unusual,1985,0,80s,19
Prince,Sign o' the Times,1988,0,80s,133
Boz Scaggs,Silk Degrees,1977,0,70s,85
Bobby McFerrin,Simple Pleasures,1989,0,80s,32
The Rolling Stones,Some Girls,1979,0,70s,17
Fun,Some Nights,2013,0,10s,22
Alabama Shakes,Sound & Color,2016,0,10s,38
Gnarls Barkley,St. Elsewhere,2007,0,00s,30
Red Hot Chili Peppers,Stadium Arcadium,2007,0,00s,32
OutKast,Stankonia,2002,0,00s,73
James Taylor,Sweet Baby James,1971,0,70s,25
The Police,Synchronicity,1984,0,80s,-41
Katy Perry,Teenage Dream,2011,0,10s,68
Sting,Ten Summoner's Tales,1994,0,90s,-13
Lil Wayne,Tha Carter III,2009,0,00s,108
Sara Bareilles,The Blessed Unrest,2014,0,10s,19
Barbra Streisand,The Broadway Album,1987,0,80s,47
Kanye West,The College Dropout,2005,0,00s,152
Babyface,The Day,1998,0,90s,161
Alicia Keys,The Diary of Alicia Keys,2005,0,00s,35
Bette Midler,The Divine Miss M,1974,0,70s,3
Sting,The Dream of the Blue Turtles,1986,0,80s,64
Quincy Jones,The Dude,1982,0,80s,52
The Black Eyed Peas,The E N D The Energy Never Dies,2010,0,10s,210
Mariah Carey,The Emancipation of Mimi,2006,0,00s,47
Eminem,The Eminem Show,2003,0,00s,-400
Don Henley,The End of the Innocence,1990,0,90s,-32
Lady Gaga,The Fame,2010,0,10s,173
Lady Gaga,The Fame Monster,2011,0,10s,-26
Kenny Rogers,The Gambler,1980,0,80s,-19
Sheryl Crow,The Globe Sessions,1999,0,90s,-26
Macklemore and Ryan Lewis,The Heist,2014,0,10s,126
Eminem,The Marshall Mathers LP,2001,0,00s,-678
Donald Fagen,The Nightfly,1983,0,80s,27
Billy Joel,The Nylon Curtain,1983,0,80s,-9
Fine Young Cannibals,The Raw The Cooked,1990,0,90s,-17
Paul Simon,The Rhythm of the Saints,1992,0,90s,-31
Bruce Springsteen,The Rising,2003,0,00s,52
Fugees,The Score,1997,0,90s,-132
